content,score
Tolong lah ini ngeleg terus udah berkali kali gitu terus sinyal nya,1
"game is good,okayy ma filter is work now..thanks for fix thats 😭",5
"Terima kasih telah memperbaiki beberapa bug, dan mohon di tingkatkan karna sebagian perbaikan bug hanya berpengaruh untuk beberapa player, contohnya duyung ku badanya masih separuh tenggelam ditanah",3
SUDALAH KAWAN GAME ITU HANYA UNTUK MEMBUAT KITA BHAIGA BUKAN UNTUK REMEHKAN KYK PUBG,5
"Tolonglah masalah ping yg kurang stabil diperbaiki, gk nyaman banget lagi perang tiba"" Lag gk karuan",3
nicee bug,5
Game rusak,1
Yakin sih ini game yg paling gw minati..daripada life after mungkin gw lebih suka yg ini ....dari segi berburu home making nya dapetin item atau senjata ...musuh nya juga ga begitu susah ....lebih enak aja di mainin dah recommend bgt !,5
bagusnabget,5
ramah hp kentang,5
"bukannya benerin bug diserver asia, malah bikin versi global, blog",1
"Game bagus tapi developer mata duitan parah, Alhasil game jadi rusak. (Sangat) Banyak bug yang belum di fix bahkan yg udah lama masih belum di fix. Sayang sekali sih. Setidaknya fix bug lah meskipun slow update. Tidak rekomendasi untuk new player karena tidak ada booster apapun untuk new player apalagi yang gk punya teman pasti kesusahan.",3
"G bisa di download,kan gw udah download sampek 54 persen trus ngulang ke 0 persen",1
Good game,5
Chimeraland : Bug era,1
"Bug di mana-mana lagend tenggelam ke dalam tanah, map hitam, noble tenggelam ke dalam tanah",1
"Min bug nya perbaiki kenapa,, event Mulu yang di besar2in,itu bug GX benerin 😑😑😑",1
"bug ,bug, bug and never fix it",1
"Saya sebetulnya puas, mlah sangat puas dengan chimeraland namun tolong lebih efisien dalam pemberian demeg pada target karna pada dasarnya game dengan full level yg kurang banyak, serta sulitnya mencapai level yg mampu taming sendiri malah menjadi faktor kurangnya game ini menurut saya serta tmn tmn saya. Jadi tolong di perbaiki agar solo player leluasa bermain. Apa bila merasa teralu mudah maka bisa di adakan updet bersekala dimana updet itu memunculkan beberapa monster dengan kesulitan yg lbih",3
Why i don't start im is madddddd,1
Game nya bagus tapi tiap update cuma nguntungin player yg ber uang doang ga jelas mana barusan gw kill legend di dekat rumah mlh di tangkap anjir di buang keluar angkasa sungguh tidak jelas,1
Maaf baru selesai download malah terdapat masalah bug disaat login dan ini masih belom mulai memilih karakter karena bug dan tidak dapat terlihat dengan jelas mohon di perbaiki,1
"Bug banyak ga di fix,,fokus event topup..welcome to CHiNABUGLAND",1
Berad,1
keren,5
"does the chimeraland game developer not want to take care of the sea server anymore? you bastards, you think that your actions in releasing the global version of the chimera didn't hurt the players in the sea version and now the sea version is not being cared for anymore,",1
Bugnya tidak diperbaiki,1
"So many bug, dark map bug, Character power bug, fishing bug and etc .",1
Setelah event golden crow setiap update bug nya semakin parah fix bug nya juga lama.MTbukan nya fixbug malah nambah bug.map gelap.gk bisa mancing duyung gw pada mati anjg,1
Please FIX BUG Map and BUG Fishing,1
Terlalu banyak bug yang sangat mengganggu,1
"Sorry, I'm re-editing the review ..because I lost my main account so I'm pensi thanks I've been accompanying my free time so far, see you soon..When will I play again.If you can, please create an account for the missing person, make a site that is on a tight radar.doesn't happen like me The account hook feature is not stable, so please understand it first, okay?",3
Knapa udah di udate di plytor udate lg di gemnya 3GB lg ga jelas.. Gamenya bagus CUMA TERLALU BANYAK SERVER yg bikin malas memainkanya,3
Amazing,5
Habis update akun lama gw malah ilang !!,1
Tolong perbaiki map nya dong...... Baru updeat udah bugs ini map,3
Ahkirnya ada juga bahasa indonesia,5
Game susah di daftar,1
game di iklan keliatan menarik tetapi game ini harus daftar saya tidak suka bermain game yang harus daftar,1
GoodGame,5
"Game ngebug,kaga becusss updatenya sempak",1
TOO MUCH BUG!,1
Kuatkan sinyal koneksi,3
Banyak pengguna bug duplicate dan tidak mendapatkan sangsi sehingga manjadikan game tidak sehat,1
"When theres new update also theres new bug, been 2 days map still blackout cant see noble beast and others. Do emergency maintance to fix map",1
very good and cool game i can find many things in this game,5
"Keren, ngga sia² belanja 50jt",5
Permainan sangat sulit untuk dipahami,1
Banyak bug belum diperbaiki abis update 🗿,1
"Awal awal seru, saya main ber 3 sama 2 anak saya.. makin main butuh bahan material yg ga bisa di dpt kl ga topup. Fix auto delete.",1
Server mungkin kurang baik,5
update maksa bukanya makin bagus malah makin burik game RPG kok BUTA MAP (MAU ADU INSTING DI GAME SEBELAH) OPEN WORLD KOK BUTA MAP gimana mau open world kalau map ketutup yakali pakai jidat bapak kau ngotak bodoh,1
"Bug jalan sndiri, Bug ""legend"" masuk tanah, bug teleport, bug masuk dlm tanah, noble spawn di tgh lava, bug duplicate item, bug weapon sling shoot, bug hajar player dicentral masuk ke prison, bug weapon switching, update ga unfaedah, bug camera pov, bug ga bsa nyiram taneman, bug tiba2 mati, cheat handgun firespeednya kek slingshot, cheat masuk tanah, bug beberapa noble/honor spawn dalam tanah, teleport ke home malah teleport ke dlm air, Habis update MAP gelap, ga bsa kill yg 1 faction d central",1
Banyak Bug. Bahasa Indonesia tidak ada. Map hitam. Tidak bisa memancing. Dan masih banyak. Semoga cepat di perbaiki...👍,3
"wajib coba main, menurut gua ini game seru bangett cuman ini game makan ruang kapasitasnya gede banget jdi terpaksa uninstall",3
"update sekarang banyak bugnya:1.tidak bisa buka map,2.tidak bisa search Totem,3.tidak bisa memancing jadi tidak bisa recruit attendant mermaid",1
Plis fix the bug!,1
gimana sih，habis upgrade map nya kok hitam，admin kerja gimana sih，terjadi masalah besar dlm game kok dibiarin，yang propesional donk,1
Ada bug di map nya atau memang begitu...!!!,5
"Game nya imba tp mental player nya kebanyakan maling Ama sampah . Mending maen game sebelah ada yg sampah atau maling auto di geruduk, klo guild nya yg maling atau tukang sampah di ancurin . Percuma kebanyakan mental Maling bin sampah nya .",3
Someone stole my account and deleted my character and the customer service don't even want to care-_-,1
Player indo udh pada pensi baru dikasih bahasa Indonesia gamenya gila,1
Games ini udah bagus hanya saja bahasa nya ngak ada bahasa Indonesia jadi susah buat main nyan tolong buat update depan bahasa nya ada bahasa Indonesia,3
Bagus,5
Game sampah banyak bug,1
New update= new bug,1
tidak ramah,1
Semoga ada mode liga clan dan pvp 1 vs 1 biar game ini ada kemajuan bukan sekedar jadi Tarzan nyari hewan 🤣😅,5
Ini game kenapa sih susah susah dapat senjata dan legend beast malah akun gua di hilangin tolong fix game ini!,1
Loading awal aja udah fc sendiri.. Belum sempat main pula..,1
"Game rusak , akun gua ilang , baru mau login tiba tiba di suruh bikin akun baru , udh ku coba masuk ke email yg udh ada akun lama , ga ada akun gua , di suruh bikin yg baru , nice bgt 😤",1
Developer Tidak Ramah Kalo Sedang Gacha,5
"Kualitasnya lebih bagus sih dri yg dulu, dan lebih lancar moga sizenya gk bengkak kek dichina ampe 10gban.",5
Belum nyoba tapi kayak nya seru,5
Kok bahasa Indonesia nya gak ada y.??,3
Ok,5
game nya seru dari segi grafik. karakter. gameplay semua nya seru. pilihan senjata banyak. pilihan karakter banyak. cuma kurang nya di bagian komunitas yang terlalu sedikit.,5
"Haloo tolong untuk sinyal di stabilkan, mau login aja susah, buka game lain bisa padahal,, game bagus padahal tapi heran aja sering banget login tuh susah",3
"terlalu monoton, event yang selalu mengandalkan top up, server yang sudah sepi dan tidak ada merger server, bug dan lag yang tidak kunjung perbaiki justru semakin bertambah, Early to Mid game aja yang enak. So jangan heran banyak player yang pensi, dan game makin sepi. Bagus sih gamenya, setara dengan life after, dan kawan kawan lain (game survival) but at least, i think, this game cant be compare to Durang* 🙏",3
Jarang ada game sebebas ini,5
Cukup bagus untuk sebuah game (RPG),3
Sepi,3
Grafis yg sangat amat realistid,5
Mantappp,5
Dead Game.......too many bugs.......,1
please fix the connection,1
"Makasih GM , dikasih Yang enak enak",5
"Beberapa hal yang perlu di evaluasi! 1. Bug (legend/boss di bawah map,dll) 2. Sistem PK di central(buat pembatas antara newbie sama old player) 3. Sistem load item perlu di tingkatkan(item banyak namun storage terbatas) 4. Drop rate item boss(terlalu mengecewakan drop illus) 5. Penggunaan Cheat (auto mining,damage,dll) 6. Permasalahan Jaringan dan Fps yg sering drop 7. Sistem craft beberapa item seperti seal illus perlu di perbarui,agar dapat membuat seal perlu membunuh legend yang tidak sedikit",1
saya kasih 5 bintang karena game ini sangat bagus grafik nya ok top lah,5
Jiu san we ni futangdouhuo,5
Bintang 1,5
Bad sih😤,1
"ATTEND GUA KELELEP DI TANAH,😡",1
Lebih hd lagi game yg 1 gb,1
Orkkot,5
Perbaikin lagi dong bug nya masak ngelegen b2 masuk gunung mulu drop nya masuk gunung kompensasi dong mls main ntar min susah ² farming seal kena bug apa lagi solo capek lah gk dapat drop,3
"Game nya bagus, tapi fps nya tidak stabil",1
Mengapa setiap update selalu hilang akun saya,3
Game nya bagus grafik juga ultra hd,5
Game nya asik cocok untuk dimainin,5
Game nya bagus tapi sekarang jaringan nya udah gak ketolong lagi masa baru masuk PING nya jadi 9000 setiap login selalu relog lagi males main game gak jelas bisanya abisin Kouta dan baterai ampas,3
"Please, those who use duplicate bugs have their accounts banned, harming players who play purely",1
"Ada apa ini,, kenapa semakin sini dan sering pembaruan malah membawa game lebih buruk lagi,, saya tidak nyaman dengan cheater yang semakin meraja rela,,, begitu juga dengan bug duplikat,, tolong pisahkan,, game pc and mobile,, dan yang terpenting tingkatkan ke amanan game dari cheater,, dari pada terus-terusan menambah server lebih baik tingkatkan ke amanan game,, Saya berjanji akan meng uninstall game jika cheater masi tetap ada,, Secepatnya,,,,",1
Sekarang Saya Sudah Tahu Solusi Nya Agar Bisa Main Chimeraland Walau Dengan Ram Yang Kecil... Apabila Ada Update Game Chimera... Game Chimera Di Ponsel Di Hapus Dulu Baru Instal Ulang...... Supaya Datanya Tidak Menumpuk,5
"Maaf tadinya bintang 5 sih cuma gara gara cheater sama yang main di PC bisa duplikat item jadi gak kompetitif lagi, gak seru",1
"Dear developer, can you fix bug on duplication and fast handgun ammo. We must play fighting cheater like that. Its hard to fair competitive on central. I hope pc and mobile get diferent server. thanks.",3
mainan macam apaaannn iniii kokkk buaguuuussssss😍😍😍😍😍😍,5
"Untuk developer game tolong kenapa akun saya tau"" hilang, padahal ngga delete akun,dll dan udh verivikasi google Tolong untuk kejelasannya...",5
"parah,bug tidak pernah diperbaiki sehingga player nakal memanfaatkannya,sehingga merugikan player yang berbayar dan bermain dengan jujur",1
"Tolong buat yang buat game, kalok narok update yang besar mendingan di loby aja atau di game saya nungguin lama lo",1
Gem burik kantong telor gw gatel weh,1
Pas log in gg bisa tulisannya error...out n try to log in again...tp semua data2 langsung hilang....it's better to uninstall this stupid game,1
banyak iklan sangat menggagu iklannya,1
Kalo bisa di tambahin bahasa indonesia :v,5
Game ini rusak jaringanku suka ngeleg ngeleg sendiri padahal sinyal bagus tolong cepet di perbaiki masalah jaringan ini,1
Malesin,1
Kalo gua sih malah ilang akunnya tapi sekarang mau nyobalagi download ini udah ke 3kalinya kalo masih tetep ilang,3
"Kek seru gitu liat orang² main game ini, tapi nyatanya tidak frame banget 3,50gb main ML,Pubg,Codm lancar aja lah kenapa game ini framenya kek bangke bet. Mohon perbaiki kembali sistemnya dan file file dalam game masih ada yg bug maaf saya kasih rate bintang 1 kalo sudah diperbaiki saya kasih bintang 3.",1
Nunggu size mengecil baru coba download lagi.. Youtuber yg dulu review ini game dan anggota guild gua. Nunggu untuk size di perkecil,1
Game rusak...buat kalian yang mau download game ini...mending gak uusah deh..tar nyesel buang2 paket data tau gak mending main game yg lain yg pasti reting gamex 4 keats....,1
Aku sangat suka dengan game ini,5
Keren sih untuk grafik dan map nya juga luas bgt tpi....,3
Bagus gamenya,5
Aku sangat menyukai game ini..q,5
👍,5
Grafik sudah bagus tapi masih banyak terdapat bug. Itu saja,1
Mantap dah ni game,5
Tolong ini gimana ya cara masuknya?saya sudah coba berkali-kali tapi tidak bisa🙏,1
game rusak,1
"Sudah bagus, tpi kendala di drop frame rate tiba2, padahal pakai grafik rata kiri tpi ttp aja ketika ngelewatin rumah orang lain langsng ngelag",5
Bagus,5
Kenapa punya saya ketika selesai download malah keluar tidak bisa di download chimerland jurasic ini masih cbt apa udah global sih,5
Aku uninstal ini game karena suka loding terus,1
"Gw pertama main ini game asli enak,belum ad update,gw hunting boss real no ngeleg no loading,no keluar game sendiri, nah sempet gw hapus game ini sebulan,pas gw coba instal lagi ini game,update dinosaurus,bagus sih udh masuk, nahh..pas disini, mulai game gak setabil ini gejala, baru masuk game, ngeleg pertama gpp, ngeleg ke 2 Keluar game, gw coba LG masuk, ttp ngeleg,gw coba keluar, hapusin dlu berkas cache, coba masuk lagi,masih ngeleg, udh pasrah..ini game udh gak enak di mainin..hapus aj,titk",1
GG LAH INI GAME,5
Good game,5
Kenapa yah level pet gue brenti di level 25 .. Udh gk bisa naik lg.. Padahal batas nya kan 60,5
Game yang membuat saya tidak bisa tidur dengan baik dikarenakan gameplay yang sangat seru dan menarik. Akan tetapi saya berharap kedepannya pengoptimalan fps dalam game dapat di perbaiki lagi.,5
Gamenya terlalu bagus,5
why can't download the data,3
"Kenapa gabisa masuk ya min ,macet terus di lobyy awal",3
"Bagus seru menurut ku sih perfect lah :) , ramah untuk f2p seru lah intinya wajib donlot, size gede tapi sesuai ama gameplay nya",5
Kerool,5
Untuk developer tolong di buatkan untuk bahasa Indonesia. Karena saya suka permainan ini tapi saya tidak pandai bahasa Inggris. Terima kasih banyak,5
"setelah maintenen kemarin setiap bangun / letakkan furniture ""this site is occopied ""padahal saya ingin membangun rumah bersama teman saya ☹️😔",3
👍,5
Tolong buat game ini berkembang dan jadi lebih seru saya harap kedepannya akan lebih maju untuk mengembangkan game Chimeralamd tersebut ☺️🙏🏻,5
Bagus,5
Untuk login kadang susah tolong di perbaiki,3
gua udah download lama 60% malah balik lagi parah ini game...,1
Gamenya bagus tapi agak sedikit sedikit aja kaku,5
"Saya sangat menikmati game ini, walaupun keterbatasan device yg saya gunakan, saya cukup berharap akan ada opsi pilihan bahasa Indonesia di update kuartal kedua tahun ini, Terlepas saya harus dowload lagi sehabis maintenance, saya tidak mempermasalahkan hal tersebut, saya harap kedepannya tidak ada bug ini lagi, dan juga semoga saya saja yang mengalami hal tersebut, sekian dari saya dan terimakasih, player from server 109, Ign Kangen.",5
Game yang open world,5
Kok saya gk bisa masuk game,3
Game nya bagus dan asik yok main salam server 101 F O X Y,5
Game yang bagus dan enak untuk dimainkan,5
Ok Bagus Cool,5
Game GK jelas grafik buruk banyak bug seperti bug serangan musuh padahal musuh masih jauh tapi kena demeg mengecewakan user rpg,1
"udah ke3kalinya gw ngeunduh nigame,udah 100/sn malah balik lagi dari awal kuota gw udh 10gb abis buat dwnld nigame gk selesai"" anj",1
Dah lah,1
"Mirip durango, tapi versi 3D",5
"The best Sandbox game i ever play on mobile platform. My negative point is, the limit of house building.",5
Plis add Indonesian language,5
GG Gaming 👍👍👍,5
Game nya bagus walauwpun ngeleh tapi bagus semangat ya😀😃😁😄,5
Bug nya di hilangin dog,5
bagus,5
"Saya akan mencoba untuk pertama kalinya bermain game ini, kalau bagus akan saya lanjutkan. Karena saya baca di bawah banyak komentar yang tidak sesuai dengan harapan para player. Biarlah rugi 3GB lebih download nya asalkan sudah mencoba.",1
Puas banget mainnya,5
"ini bagai mana kok saya udah top up, embernya gak masuk gimana ceritanya ini!!! tolong lah bisanya masuk setelah pembeharuan tdk masuk!!! malah pemberitahuan gagal topup. akan tetapi pilsa tersedot kepotong. tolong lah developer perbaiki. dan kembalikan topup saya. kembalikan jadi ember yg saya beli. rugi sangat ini... saya...",1
Goodgame,5
Gak bisa login2 padahal internet bagus....mohon diperbaiki atau kalian akan kehilangan banyak player,3
bagus. ada auction bisa jual barang,5
Jaringan makin berat sampah emang,1
"Gua pensi dulu dah,baru era Dino saurus kan ya,gua nunggu era moderen aja :v",5
"Keunggulan:banyak varian monster dan senjata map luas graphic juga bagus bisa build rumah juga Kekurangan: tidak terlalu banyak NPC manusia cara dapat pet yang cukup sulit jarang bertemu player lain dunia terlalu datar juga sering frame drop untuk game dengan donwload 3,3GB cukup sayang tolong di perbaiki untuk saat ini Bintang 3 dulu",3
"Sayang aku dh pensi, jika aku disuruh pilih ingin kembali kemana. Mungkin akan ku jawab saat awal2 ini game rilis 😓😍",5
Keren,5
😍😍😍,5
"Cheat urusin lah itu buset dah , di server 113-114 China nge cheat itu hajar honor sampe masuk dalam tanah gitu!!",1
"Dulu gw kira gaseru , ternyata seru bgt , gw sampe lupa waktu , pernah gw main 13 jam nonstop , tapi skrg gw udah pensi , hp gw udah gakuat , menurut gw daripada servernya dibanyakin mending di benerin , udah mulai sepi juga soalnya",5
"Geme ini gw rasa buat PC klo main di HP kualitas gemenya jadi ga maksimal, awalnya gw kira lebih bagus dari gensin dari segi grafik",1
"Bug makin parah, dulu cuma nobel aja yang nyangkut2 gak jelas di batu, ne udah legend juga ikutan masuk di batu, dropan makin parah, 1 nobel 1 material khusus dan cuma 1 nobel beas soul, padahal sebelumnya bisa dapat 2 atau 3, gak sepadan sama seal, belum lagi rate untuk crafting makin gak jelas, padahal dulu minimal ngecraf 10 ada yang naik rate 1, ne 40 lebih, gak ada yang naik gradenya, seharusnya game udah sepi ratenya dinaikin donk, ne malah ne kurangi, gimana orang baru mau tertarik main?",1
Game rusak jangan donload player cinanya pakek hack apalagi server 113 mending pisahin server lagi kalo nga gitu band akun cina yg pakek hacker itu,1
Bnyak bug bikin gx nyaman,1
terpaksa uninstall,1
Perfectly game...,5
seru,5
"thanks for create this game, i really bored playing suck game like ML or something else",5
Terimakasih developer :),5
Tolong disegerakan untuk Fitur Bahasa Indonesianya,5
Mantavvv Kalo Bisa Sih tambahin Ras Elf Biar sugooooiii,5
Salah mengisi tahun saat register,1
Keren banget permainannya,5
Bagus,5
Game gk jelas,1
Ni game bgus bet,5
Bagus banget,5
Apakah ada server baru??,5
I like it,5
Terimakasih 🙏 gamenya sangat seru,5
Gud,5
Terlalu banyak maintenance...,1
"Saran tolong kasi player setia tiap hari Main chimeraland Berjam jam. Jika on 1 jam dapat hadiah, terus 3 jam dapat hadiah lagi, terus on 6 jam dapat hadiah lagi, terus 12 jam on dapat hadiah, on 24 jam dapat hadiah lagi. Dan seterusnya. Gila update aja habis 3 GB. sudah kayak intal game aja",1
Naise,5
Haram aku gak visa mask nama,1
mantapp lahh:D,5
Kok gak bisa login,1
"game makin hri makin gak jelas bug dimana mana ada yang bug masuk tanah fps sering drop apah lah plis lah jangan banyakin update terus kalau ujung nya bikin gak karuan benerin dulu masalah fps sama bug nya dev jangan uang ajh kau pikirin.. gak guna capek"" main dari season awal ampe skrang masih ajh bug nya sma mlh nambah pula bug nya . kecewa.",1
"Gamenya udah mantap walaupun masih banyak bug, updatan berikut nya tambahin BAHASA INDONESIA 🙏",5
Kimi Hime bring me here,5
"Kalo kalian mau main minimal ram hp kalian 4gb dan sisakan penyimpanan HP kalian 6gb, kalo ram 3 kurang aman main nya agak lag, gitu aja sih",5
"Kalau bisa bahasa indonesia , saya kurang pintar bahasa inggris",5
"Data bug,skill musuh tidak kelihatan..sedikit kecewa saya",3
ini game mantap sekali,5
"Telor dino di perbanyak dong. Yg nyari kaya ulat. Ku 4 hari hanya fokus cari telur dapat cuma 2, tebang ber jam² smpe bosan. Pas dapat telur nya isi sumbirdgon doang. Padahal setiap hari pasti aku slalu main",3
saat loading awal game kok lama banget sampe nunggu 1 jam belum masuk juga ke server nya padahal device saya mendukung,1
Ikhlas,5
Game k*****,1
Game kambing,1
Di prank sama ayam mulu coo,5
"Tunggu, kenapa akun saya ilang setelah ga main sebulan ?, mau main lagi masa harus ngulang dari awal ?",1
Berat ajing,1
Apa si ga download juga,5
Ini Game asli nya MB nya cuma 57 MB,5
Hp saya main ghensin sampek 24Gb main ginian ngefriz,1
"Login field, bikin baru di server lain bs tp ngulang donk",5
Masak black screen gimana mau main,1
Grafi burik lagi ram 3 gak seru juga alah aku dong game nya ada 5 GB hp ku kan 10. GB jadi game itu game pasaran buat gue ahahhahaahhahahahah burik candan burik kalo bisa naik Ki ke 5 GB aja,1
"Mantab chimeraland, orang tua mu pasti bangga! 👍",5
Bagus banget bisa mabar bareng afif yulistian !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,5
Keren,5
star V,5
Memang babinya engkau ni,5
server disconected,3
Iya tapi kebanyakan server bikin server lama jadi sepi akhirnya pada pindah ke server baru dan mereka yang udah punya akun hebat di server lama bakal bosen karena servernya sepi,3
next update di benerin lagi,3
"Kenapa nama pet or attendant yang sudah diganti nama nya,tidak berubah nama nya ketika masuk leaderboard?",3
Game nya keren,5
"Gamenya sudah bagus, tapi tolong tambahkan fitur seperti Clan Vs Clan, karna kalo ribut drama clan di Central terus gak ada ujungnya",5
"Bug makin bnyak, udah di laporin bukannya mau di perbaiki malah di abaikan",1
"Saya player baru,menurut saya game ini sudah sangatlah bagus akan tetapi perlu ditingkatkan lagi,karena masih ada beberapa bug & glitch",5
Nasib... Baru buat karakter udah ngefres aja Masuk kegameplay suka forceclose Udah nasib hp🥜,5
Gamenya sesat anjir tapi game ini mengandung babi ini sangat tak penting untuk menjaga Islam tapi kalian download game ini lu bukan Islam tapi neraka dan kalian orang indo tapi kalian download game ini lu bukan orang indo tapi China aku benci sama game ini後には!でしたですよねとしてください?ってするとはない ingat kata Islam harus tobat واحد من الفريقين من الفريقين من الايام و هو راقد من الفريقين,1
Gak bisa masuk game,1
Menarik,5
Menurut ku sih game ini hmpir smpurna,5
Game A lot of feature,5
Bug pada visual pet atau tampilan pet dan bug visual di sekitar perti batang pohon jadi bugstone belum di perbaiki tolong secepatnya di perbaiki,1
Game burikk😡😡😡😡,1
Suka banget dah jadi pengen main lagi eh tekan hapus download lagi sumpah gamenya seru banget dah makasih dompetnya seru banget,5
"To many bug, many monster have error' picture.. Please fix it. It's awesome game, but to many bug from graphic monster",3
Hayo mau komen apa hayo... Xenon chuan....,5
"Bagus bat gua aja dapet barang gg gratis gara² eventnya yg bagus²,hadiah dari misi yg gampang tapi dapet barang bagus,login dapet barang gg juga ayo mainin game ini gua recomended game ini grafis nya yg mantep banget trus open world udah gitu ada banyak jenis BINATANG² di game ini ada peliharaan juga yg gk cuma pajangan bantu nyerang sumpah ni game bikin gua ketagihan ml aja malah gua lupain gua maen ini trus kira² moonton marah gk ya🗿👍👍",5
я люблю эту игру...,5
"Mantap ada pilihan blueprint di shop,tapi kalau bisa tambahkan lagi dengan fitur bangunan yang megah(castil, benteng,istana dsb ) semoga semakin berkembang chimera, terima kasih",5
"Auto dellete,,,tiap update harus download resource 2,7 gb trus,,, apalah daya player yg cuma pake paket data,,,dari pada harus update trus, mending hapus,,, pakyu lah dev bab1.",1
"Tolonglah jangan kebanyakan sistem RnG. Terutama SEAL untuk ILLUSTRIOUS, MEMANGNYA ANDA PIKIR SEMUA PLAYER BISA DENGAN MUDAH MEMBUAT SEAL ITU DENGAN BAHAN YG SULIT DIDAPATKAN? ANDA MEMBUAT BANYAK PLAYER TIDAK BERSEMANGAT MENCARI PET BARU, ANDA HANYA MENCARI CUAN TETAPI TIDAK BANYAK MEMIKIRKAN PLAYER ANDA SENDIRI 👊...",1
Dev terlalu mementingkan uang dari pda kenikmatan player dalam bermain game player sepi tpi server di tambah terus dan terus......tidak akan lama ini akan menjadi akhir perjalanan game ini thnks #just opini,1
"game nya keren dari segi garafik nya juga bagus dan lancar jaya di mainin di hp kentang ku tu aja sih ,",5
Grafik nya jelek buriq,1
Setelah update banyak banget bug.... Tolong di perbaiki....!,1
Jeleknya gak bisa login ke akun lama malah harus buat baru lagi😭 maaf ya aku gak jadi main karna gak bisa balik lagi ke akun yang lama padahal buat susah susah rawat akun lama😭,3
"Saya kan log out mau nge ganti akun email, tiba² akun saya hilang entah kemana. Mau ga mau ya harus bkin lagi dari awal. Kok game nya gitu ya padahal akun utama saya udah level 60:)",1
Game yang bagus 🙏 trimakasih atas kehadiran game ini,3
Keren,5
Sering terjadi lag yang sangat tidak nyaman tolong segera di tangani 🙃,3
"game mantap...gak bosen"" gw mainin ni game !! !! !! !! !! !! !! !! !! !! !! edit: membosankan game nya gitu"" aja",3
Nice,5
"this game is good, but you can add trees for building to make it more beautiful",5
Kapan lirisnys chimeraland dinosaurus? Ku tunggu sih soalnya gamenya asik banget,5
jelek,1
Keren,5
"Mohon Developer game ini, tolong turunin memori update nya dan download game nya, masa download nya 3gb, download file file gamenya 2gb,masa update udah 1gb habis itu suruh update lagi hadeh",1
Buriq,1
Saya suka,5
Habis di update jadi sering force close.. padahal jaringan bagus. Jadi bikin males main lagi lawan grand boss apa legend tiba-tiba keluar. Very very bad..,1
"Sering ngebug stelah update,kadang waktu totem musuh gk ad bentuk cma kayak kertas trus di mount banyak bugnya jga downloadnya sudah selesai main udah hampir setengah bulan gitu mulu",3
Berat,1
Kereennnnn abiss dah pokoknya,5
"Game sucks, setiap update ada aja bug. Tolong yg magang, lebih di perhatikan lagi. Yg senior jangan ngebabuin.",1
Bagus bnget,5
Tolong di permudah masalah top up lewat pulsanya jangan di batasi itu ajah selebihnya mantap,5
"Game ini bagus ! Tapi sayang, ping nya terlalu tinggi,dan tidak menyediakan bahasa Indonesia,semoga cepat diperbaiki agar saya tidak ragu untuk melanjutkan permainan saya",3
"W laporin Tindakan tidak menyenangkan lu, nge Catcher masa Temp mulu!!!!!",1
"Bagus banget, terus tingkatkan gamenya admin🙏😇",5
Sangat bagus,5
Saat memainkan game ini hidupku serasa berada di pelukan mantan yg begitu hangat!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,5
Bug after update bikin ngakak sumpah...bug paling absurb sepanjang sejarah perGamingan...poor,3
Mantap,3
"Game yg bagus tapi server beranak,, kebnyakan player lama pindah server baru jadi server lama yg katanya penuh malah sepi,,",5
Oke,5
Sangat kecewa Baru di download stuck di cecking update information udah 2 jam gak jadi2,1
maaf dec,5
Ini bocah hape kentang pada mengeluh. Klw gk kuat hape nya jgn main dekk. Fokus belajar aja. Jgn ngegame bocah lucnut.,5
Bug sering blink monster nya saat battle,1
Gua maen ini selalu di buat kagum dengan keindahan pemandangan dan luasnya map. Paling suka gua keluar angkasa dan terjun dari bulan rasanya mantap. Tapi akan lebih baik lagi jika ada bahasa Indonesia akan lebih mudah. Semoga di update yg akan datang ada bahasa Indonesia. Saya suka dunia games itu 😉😉👍 Note: gua rasa ini prototipe vr atau dunia meta. Dan kurangnya npc di sini tidak begitu banyak mungkin masih masa perkembangan. Perasaan gua games ini akan jadi lebih besar. Boom wkwkwk 🙊🙊🙊,5
"Selamat mendownload 13,5 GB guys wkwkwkw Uninstall",5
Keren,5
Update itu bikin makin optimal/sesuatu yang baru ini update malah jadi sampah banyak bug game jadi gak optimal,1
Gamenya bagus grafiknya bisa di atur game open word terbaik lah ini.aku mau kasi saran tambahkan bahasa indonesia biar gampang.,5
Gaya hidup bebas bagus,5
Love ite,5
"Gamenya bagus... Perbanyak iklan yah.. Biar banyak orang tau kalau game ini ada.. Makin kesini makin sepi aja... Ramai cuma di server baru, itupun bersifat sementara.. Kalo emang udah kelewat sepi merging server kalo perlu.. Sedih teman hilang satu persatu...",5
"Coba bro yang ada kendala setelah update di re-install, pasti lancar lagi gada kendala",5
"gamenya bagus, tapi sayang sekali setelah last updete jadi sangat berat untk dimainakn, smoga cpt d perbaiki",1
ukuran diperkecil dikit lah masa 12gb totalnya,3
"very very very BAD , NEW UPDATE ... 😭😭😭😭😭😭 REALESE NEW UODATE PLEASE",1
